market,itemName,image,period,price,disc_price
costco,"다용도  5단 선반, 소형",/medias/sys_master/images/ha6/h26/30609586323486.jpg,행사기간 2023/01/23 - 2023/02/05,"76,900원","할인금액 5,000원"
costco,이메텍 순면 전기요- 싱글,/medias/sys_master/images/hdd/h1e/86871124312094.jpg,행사기간 2023/01/30 - 2023/02/12,"75,900원","할인금액 16,000원"
costco,테팔 티타늄 매직 핸즈 쿡웨어 세트 5P,/medias/sys_master/images/h02/h56/14292676870174.jpg,행사기간 2023/01/30 - 2023/02/12,"72,900원","할인금액 14,000원"
costco,제주제스프리 골드키위 5.6kg(37~41입),/medias/sys_master/images/hac/h00/133423376891934.jpg,행사기간 2023/01/30 - 2023/02/05,"66,900원","할인금액 6,000원"
costco,루마인홈 오가닉 차렵 이불 - 퀸,/medias/sys_master/images/h54/ha3/137302512926750.jpg,행사기간 2023/01/30 - 2023/02/05,"62,900원","할인금액 13,000원"
costco,바이네르 여성 슬립온,/medias/sys_master/images/h73/h89/117007809576990.jpg,행사기간 2023/01/23 - 2023/02/05,"62,900원","할인금액 20,000원"
costco,코베아 캠핑 쿡웨어 세트,/medias/sys_master/images/h3a/haf/100968707784734.jpg,행사기간 2023/01/30 - 2023/02/12,"59,900원","할인금액 8,000원"
costco,해피콜 그래핀 하이브 냄비 2종 세트,/medias/sys_master/images/h0a/ha0/87077440618526.jpg,행사기간 2023/01/30 - 2023/02/12,"57,900원","할인금액 12,000원"
costco,리바이스 여성 빈티지 후드 모토 자켓,/medias/sys_master/images/h27/h0e/120310240706590.jpg,행사기간 2023/02/01 - 2023/02/26,"55,900원","할인금액 14,000원"
costco,루메나 소형 가습기 2개입 H2 X,/medias/sys_master/images/heb/h95/137717448966174.jpg,행사기간 2023/01/28 - 2023/02/12,"55,900원","할인금액 2,000원"
costco,에이프릴앳홈 모달 극세사 차렵이불 - 퀸,/medias/sys_master/images/hb3/he2/119018039705630.jpg,행사기간 2023/01/12 - 2023/02/05,"49,900원","할인금액 18,000원"
costco,예산농협황금쌀10kg x 2,/medias/sys_master/images/h43/ha7/45612547244062.jpg,행사기간 2023/01/30 - 2023/02/19,"49,900원","할인금액 7,000원"
costco,플로티나 차렵 이불 세트 4P - 싱글,/medias/sys_master/images/h8a/hd3/134974953685022.jpg,행사기간 2023/01/30 - 2023/02/12,"48,900원","할인금액 9,000원"
costco,커클랜드 시그니춰 프리미엄 3겹화장지40m x 30롤x 2,/medias/sys_master/images/he9/h69/17061440258078.jpg,행사기간 2023/01/28 - 2023/02/05,"48,500원","할인금액 4,400원"
costco,2080스마트 케어 치약 190g x 60,/medias/sys_master/images/he5/h70/9868120326174.jpg,행사기간 2023/01/30 - 2023/02/12,"42,990원","할인금액 4,000원"
costco,쿡에버 멀티팟 세트 4P(14cm+16cm),/medias/sys_master/images/he2/hdd/132817102995486.jpg,행사기간 2023/01/30 - 2023/02/05,"42,900원","할인금액 10,000원"
costco,크리넥스 보습소프트 3겹티슈 160매 x 8 x 2팩,/medias/sys_master/images/h60/hcd/101887382126622.jpg,행사기간 2023/01/16 - 2023/02/05,"42,300원","할인금액 8,600원"
costco,크레욜라 스크리블 스크러비 카니발 세트,/medias/sys_master/images/h7e/hcb/120967560462366.jpg,행사기간 2023/01/23 - 2023/02/05,"39,990원","할인금액 10,000원"
costco,커클랜드 시그니춰 정수필터 8PK,/medias/sys_master/images/hca/h07/79962376503326.jpg,행사기간 2023/01/28 - 2023/02/05,"39,990원","할인금액 7,000원"
costco,아디다스 남성 트레이너 5 운동화,/medias/sys_master/images/hca/h48/119744541458462.jpg,행사기간 2023/01/23 - 2023/02/05,"37,990원","할인금액 12,000원"
costco,럭스나인 에르고 컴포트 라텍스 경추 베개,/medias/sys_master/images/h28/hb3/132373408022558.jpg,행사기간 2023/01/26 - 2023/02/12,"37,990원","할인금액 6,000원"
costco,코베아 디럭스 패브릭 매트200 x 160cm,/medias/sys_master/images/h98/h23/97581611352094.jpg,행사기간 2023/01/23 - 2023/02/05,"36,990원","할인금액 5,000원"
costco,커클랜드시그니춰울트라클린팩세제 24g x 152팩,/medias/sys_master/images/ha8/ha7/115206272778270.jpg,행사기간 2023/01/27 - 2023/02/12,"36,490원","할인금액 3,000원"
costco,프리즘 LED 데스크 램프 PL-3200WH,/medias/sys_master/images/h10/hd6/114707824541726.jpg,행사기간 2023/01/30 - 2023/02/12,"35,990원","할인금액 9,000원"
costco,세이프라이프 자동차 겸용 소화기 Z07,/medias/sys_master/images/h5d/h80/137216075038750.jpg,행사기간 2023/01/30 - 2023/02/12,"34,990원","할인금액 5,000원"
costco,킴보 베스트셀러 커피캡슐 120개입,/medias/sys_master/images/ha9/h80/67516989603870.jpg,행사기간 2023/01/23 - 2023/02/05,"33,990원","할인금액 6,000원"
costco,초슨푸드 아보카도 오일2L,/medias/sys_master/images/hb2/h70/122432390135838.jpg,행사기간 2023/01/27 - 2023/02/09,"33,590원","할인금액 4,700원"
costco,볼빅 3피스 플라이온 골프공 선물세트,/medias/sys_master/images/ha1/hf9/133523922518046.jpg,행사기간 2023/01/23 - 2023/02/05,"33,490원","할인금액 4,000원"
costco,휴럼 황후의 보이차 다이어트 800mg x 60정 x 2,/medias/sys_master/images/h17/hdd/44787796475934.jpg,행사기간 2023/01/30 - 2023/02/12,"31,990원","할인금액 8,000원"
costco,티젠콤부차 5g x 10x 8,/medias/sys_master/images/hdf/h37/104500297433118.jpg,행사기간 2023/01/30 - 2023/02/05,"31,190원","할인금액 3,500원"
costco,아이스토리 차량용 스마트폰 무선 충전 거치대,/medias/sys_master/images/h8b/h06/82629824249886.jpg,행사기간 2023/01/23 - 2023/02/05,"30,990원","할인금액 5,000원"
costco,푸푸리 토일렛 퍼퓸 스프레이 118ml x 2 + 59ml x 2,/medias/sys_master/images/h1f/h42/100549467308062.jpg,행사기간 2023/01/23 - 2023/02/05,"30,290원","할인금액 4,500원"
costco,피로방지스탠딩매트,/medias/sys_master/images/h52/ha3/98280736325662.jpg,행사기간 2023/01/30 - 2023/02/05,"29,990원","할인금액 5,000원"
costco,연세 우리콩 두유 검은콩 190ml x 72입,/medias/sys_master/images/h4a/ha2/11047903756318.jpg,행사기간 2023/01/30 - 2023/02/05,"29,990원","할인금액 6,000원"
costco,애슐리볶음밥세트 2,/medias/sys_master/images/h5f/h14/115344760111134.jpg,행사기간 2023/01/23 - 2023/02/05,"29,290원","할인금액 3,700원"
costco,OWC 무선충전 탁상시계 OTM1640WC,/medias/sys_master/images/hfb/h57/103047765884958.jpg,행사기간 2023/01/30 - 2023/02/12,"28,990원","할인금액 3,000원"
costco,프로쉬 그린레몬 주방세제 1L x 4,/medias/sys_master/images/h6a/ha5/31214091730974.jpg,행사기간 2023/01/30 - 2023/02/12,"28,490원","할인금액 3,500원"
costco,스타벅스 프렌치 로스트 홀빈 커피  1.13kg,/medias/sys_master/images/hff/h71/85885012738078.jpg,행사기간 2023/01/30 - 2023/02/05,"28,490원","할인금액 7,500원"
costco,애슐리볶음밥세트1,/medias/sys_master/images/h2f/h99/115344734388254.jpg,행사기간 2023/01/23 - 2023/02/05,"28,290원","할인금액 3,700원"
costco,알프트렉 캠핑 블랭킷,/medias/sys_master/images/h1e/hba/70159799156766.jpg,행사기간 2023/01/30 - 2023/02/12,"27,990원","할인금액 5,000원"
costco,밸런스 체어,/medias/sys_master/images/h23/hf1/65751206723614.jpg,행사기간 2023/01/23 - 2023/02/12,"27,990원","할인금액 4,000원"
